Município,UF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Ano,ARRECADAÇÃO,Arrecadação
AFONSO BEZERRA,RN,83358.64,70010.11,101300.29,99745.2,100436.16,164130.39,192335.67,403619.07,493381.39,565031.46,723406.36,797272.92,900546.46,2017,,
AFONSO CLAUDIO,ES,2518008.76,2683974.49,3026400.52,3655943.13,4055955.74,4730309.35,6501488.24,10734254.89,13575026.73,15021372.82,16499134.33,13132615.64,13620313.64,2017,,
AFONSO CUNHA,MA,5717.38,4209.25,7847.23,8454.29,14274.0,12874.46,26175.11,50016.22,51754.91,60753.44,223461.92,390542.38,483008.07,2017,,
AFRANIO,PE,481989.44,472365.48,438966.74,419283.6,490806.09,727456.17,984626.1,1738132.57,2054542.22,3076886.45,2916418.43,3130114.24,3624160.54,2017,,
AFUA,PA,336374.69,183045.47,179521.73,161988.43,119007.1,190201.15,771333.55,1252558.41,1432937.24,1994634.71,1813271.04,1768121.23,1989856.64,2017,,
AGRESTINA,PE,313850.6,237684.11,242639.38,310716.65,286305.41,745366.05,2571304.44,5207733.36,6910800.02,6666216.99,7674685.59,8508835.52,8714066.26,2017,,
AGRICOLANDIA,PI,25361.93,21759.92,43339.41,36965.54,47236.21,47430.69,38525.56,71003.47,121973.08,132149.94,155237.01,193454.35,283846.13,2017,,
AGROLANDIA,SC,4283411.93,5923921.52,3888090.7,5422470.97,4177558.59,5253973.24,4827893.3,7200389.69,9973605.48,10646211.42,8931807.1,7846940.43,8928307.84,2017,,
AGRONOMICA,SC,863843.02,622080.58,810268.88,1310341.56,974997.19,1240021.88,1661708.37,2448820.85,2995919.76,3753434.25,3692464.14,4587613.67,6631093.99,2017,,
AGUA AZUL DO NORTE,PA,406321.4,587903.18,2648801.06,2958818.0,946440.07,625809.21,1047038.55,1368555.66,2430697.69,2743584.38,1744345.47,1759113.7,8486464.51,2017,,
AGUA BOA,MG,222621.65,194110.53,195661.67,290370.45,297449.56,426213.71,423258.96,1021932.26,1101842.49,1325005.05,1495792.48,1278119.41,1470456.45,2017,,
AGUA BOA,MT,10441952.14,14291695.03,13587497.15,12028233.8,15429479.2,13024690.59,15016605.17,22389491.49,29621380.06,35695734.01,39761942.04,36129474.33,35639812.92,2017,,
AGUA BRANCA,AL,200366.7,213605.63,236117.05,322279.92,217232.11,232098.69,238851.93,682977.13,902703.19,1053329.54,1089702.44,1216733.83,1498411.03,2017,,
AGUA BRANCA,PB,82380.38,73493.5,82168.76,96205.42,87490.08,129637.49,175590.47,509503.19,655071.21,762336.74,843085.86,868756.46,795832.04,2017,,
AGUA BRANCA,PI,472730.71,493287.02,590980.44,813603.01,1205436.6,1286723.96,1376199.06,3215323.37,3867437.8,3941778.74,4110725.36,4366868.67,5192448.96,2017,,
AGUA CLARA,MS,4574400.14,3895611.31,3634464.16,5806933.37,5896163.97,6951138.41,8014256.8,11141873.8,12587504.18,15917537.54,21864003.31,19923176.96,19194837.39,2017,,
AGUA COMPRIDA,MG,217383.99,123517.35,166906.16,407797.23,278116.95,300180.15,417304.18,680177.74,683736.84,715948.35,1044736.04,1228894.34,1294921.65,2017,,
AGUA DOCE,SC,1315578.57,1289618.39,1373225.75,1854879.63,2112126.25,2856974.77,2915208.53,4981461.2,7047452.08,10079344.16,8899122.08,10231496.63,12089853.26,2017,,
