Município,UF,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Ano,ARRECADAÇÃO,Arrecadação
IRUPI,ES,330778.4,322963.79,343945.65,460071.05,493928.11,523931.0,1048298.64,2101588.74,2314686.44,2687982.85,2778276.18,3528646.91,3081468.34,2017,,
ISAIAS COELHO,PI,22901.05,18245.31,35720.58,108972.54,37164.69,40268.84,112149.04,226560.96,234784.49,236059.51,324014.16,346311.03,630531.06,2017,,
ISRAELANDIA,GO,112682.78,74540.51,72124.65,146814.06,174850.04,244508.87,323953.7,575740.08,627163.31,712549.19,838584.56,888665.94,1011776.98,2017,,
ITA,SC,1762315.93,1770253.68,1749474.81,2433099.97,5471811.15,5044702.81,3398025.55,7149583.24,11192269.45,9485359.36,19117067.64,37163082.16,14181661.98,2017,,
ITAARA,RS,461858.14,517866.12,1970257.5,926679.4,1270401.08,1624133.61,1338444.63,2050871.73,2533509.0,2531576.79,2540895.28,4369442.41,3208935.88,2017,,
ITABAIANA,PB,457024.13,484087.06,626171.23,940976.22,1036847.14,1321696.99,1604689.72,2918313.72,3868798.9,4523296.02,4994594.84,5278454.9,5424804.89,2017,,
ITABAIANA,SE,10494517.64,9915856.86,10573569.38,12651964.4,15517941.28,19747650.58,26366686.35,39244421.0,44782394.94,53150425.68,61022151.44,61785443.67,66997963.38,2017,,
ITABAIANINHA,SE,719267.29,790436.37,884568.74,1156207.93,1276441.99,1494368.13,2506057.26,4295480.53,5751806.58,6255342.57,6354207.94,5999956.55,6367959.56,2017,,
ITABELA,BA,2014233.24,2280253.11,2868856.28,3009913.53,2596795.49,2224858.91,2911752.0,4611228.74,5440835.86,6517617.28,6789012.97,5983162.95,6685957.68,2017,,
ITABERA,SP,1823909.54,2034631.94,2396352.82,2505023.46,2696207.51,3816384.47,5760847.1,5736668.85,8828468.53,8327641.97,10272666.51,10590443.32,11259686.07,2017,,
ITABERABA,BA,2662914.19,3042121.86,3499451.28,4118230.24,4774892.04,5289359.32,6222474.78,10407883.16,13087096.17,14877278.22,16708970.8,17863759.19,17833294.72,2017,,
ITABERAI,GO,8534456.08,7478157.66,11315612.25,14400998.6,19201135.63,22901814.96,14067794.63,14008837.22,34013663.15,41442079.98,36961509.07,42768027.31,71647097.76,2017,,
ITABI,SE,48560.54,56981.42,76111.47,87783.76,63496.96,176044.86,91985.08,246185.25,269920.07,302441.33,341073.78,333972.31,487950.77,2017,,
ITABIRA,MG,34726880.12,40477041.69,45539100.32,52660535.44,45115310.59,57165775.29,75853796.21,110253110.41,131149441.76,154197300.26,137991212.94,119436247.83,115864520.38,2017,,
ITABIRINHA,MG,390429.52,426801.57,482084.72,551841.18,577706.92,791746.31,902828.73,1939410.07,1882874.82,2022823.78,2040504.34,1686276.78,1936536.45,2017,,
ITABIRITO,MG,12188256.57,10106856.07,20233231.6,27608035.05,27183303.14,36177812.19,52802580.6,89914822.94,113208758.97,123493158.76,52572472.28,46850743.42,52081699.75,2017,,
ITABORAI,RJ,21526594.49,21575170.19,24732778.68,30868512.05,34241097.63,43283417.01,67365782.14,117645462.36,162565358.79,231371624.53,203338041.75,142928316.63,133973997.97,2017,,
ITABUNA,BA,39384017.45,45184467.43,53573979.41,70562597.85,87230353.41,90843521.52,102415751.35,126320160.05,141018071.75,148501402.96,153842937.41,182943520.33,194459302.7,2017,,
ITACAJA,TO,169192.63,171234.32,252967.96,261171.63,266472.9,309274.79,381281.76,588881.84,869644.31,913945.34,1164025.72,1231220.67,1381874.06,2017,,
ITACAMBIRA,MG,1303895.24,2141535.61,3354084.46,5585911.75,3732732.88,2575642.58,4593024.69,5101823.17,3624843.55,348328.85,370719.21,398323.55,398472.15,2017,,
ITACARAMBI,MG,494485.3,616223.12,740180.28,1589871.52,1328624.01,2046633.09,2858874.74,3863718.73,4534113.52,3866218.9,4299412.47,3696681.59,4812167.7,2017,,
ITACARE,BA,2309656.89,3295388.73,2705798.56,2320195.97,1845793.88,2586817.53,2546185.23,3377157.29,3821269.35,4482911.11,5434941.83,5226228.09,5463161.71,2017,,
ITACOATIARA,AM,4981875.39,5054252.19,9235390.55,8743097.9,6424459.44,7665249.0,12666551.82,15703791.58,15650933.06,15833248.97,16717834.71,13765891.63,17260787.57,2017,,
ITACURUBA,PE,70476.94,67822.57,79048.72,94609.4,102775.93,288179.94,339408.91,331901.64,322031.0,266276.49,269752.88,377756.51,500596.9,2017,,
ITACURUBI,RS,150502.2,133054.58,129856.08,300884.22,333267.71,409593.12,472364.7,538960.87,699867.29,814556.14,846030.62,906172.74,1117195.24,2017,,
ITAETE,BA,160923.4,154121.73,153324.9,176847.84,170241.62,285884.7,254235.37,519347.49,555116.02,666034.65,1187125.82,1100085.01,1187056.17,2017,,
ITAGI,BA,196740.51,174177.16,180914.09,216215.33,261883.86,235875.43,278007.63,648791.65,804990.07,1051986.6,1027077.07,991639.33,1160524.26,2017,,
ITAGIBA,BA,542527.83,793696.84,410365.53,637381.86,930317.95,505495.55,8507382.49,2956130.9,1762659.38,1967906.1,2456930.34,1660454.39,1831688.52,2017,,
ITAGIMIRIM,BA,330881.45,343469.4,224170.7,304023.08,356102.92,359771.98,390343.13,541981.15,930894.63,2256253.86,3191065.0,2825508.78,2570209.05,2017,,
ITAGUACU,ES,957769.48,1124938.14,1434918.59,1936378.11,1968933.71,1980189.32,2405716.52,4285027.14,4512854.06,4809706.87,5203503.67,5172108.45,5499347.6,2017,,
ITAGUACU DA BAHIA,BA,56555.68,51110.64,73625.51,163757.96,234510.28,216441.0,248144.5,405009.27,443815.07,347101.57,384111.32,485748.37,932105.13,2017,,
ITAGUAI,RJ,50540438.32,62948498.56,64528964.77,76706295.95,202637384.5,1300684261.11,1226472477.65,812254699.35,1088405848.58,1580818573.56,1249620140.29,1208669879.14,1646776850.18,2017,,
ITAGUAJE,PR,222558.28,256020.68,247443.66,478296.33,630471.2,582389.68,952863.76,1113460.54,1296777.89,1911538.43,1914994.28,1672432.0,2318372.73,2017,,
ITAGUARA,MG,3334213.41,2971839.69,2927698.47,5362514.86,3413621.88,3824432.52,5885126.16,10048934.53,11481338.79,12681339.77,13383863.97,10972839.79,12975001.81,2017,,
ITAGUARI,GO,163754.7,161309.52,162811.85,236402.71,269904.0,305365.77,349174.44,800132.72,951975.3,1104092.04,1255901.78,1281762.43,1443708.9,2017,,
ITAGUARU,GO,354268.02,336261.27,423763.43,448695.25,367022.49,546524.9,574205.3,986470.12,1078488.11,1204715.56,1327032.56,1211796.19,1209129.17,2017,,
ITAGUATINS,TO,31380.22,43472.48,79659.5,97769.59,102688.88,104315.38,124014.02,212777.37,306989.52,404800.59,335345.49,310033.36,536844.14,2017,,
ITAI,SP,5035991.18,6424697.5,6704969.6,8359727.77,8679528.99,12010012.97,12562167.63,12975309.89,15382048.4,15600151.45,15791765.44,20259752.12,22212993.36,2017,,
ITAIBA,PE,157733.94,160871.3,211744.95,384707.88,327141.13,398012.82,590191.25,1488958.8,1309703.36,1673482.51,1768728.48,1959319.47,2640762.02,2017,,
ITAICABA,CE,114906.03,143444.45,153458.45,183916.4,193328.2,267336.46,281495.77,483315.42,477672.64,673089.52,749225.96,800723.96,1319776.95,2017,,
ITAINOPOLIS,PI,88313.03,89662.86,113234.82,151177.59,176280.43,229962.98,274469.87,437944.52,610641.67,635432.87,664743.13,887081.01,972226.32,2017,,
ITAIOPOLIS,SC,2190092.79,1981497.62,2017068.47,2611760.05,2781464.66,3506010.89,4069424.09,6320478.43,8168414.23,9844079.0,10164462.45,10209014.14,11624111.33,2017,,
ITAIPAVA DO GRAJAU,MA,9044.97,18791.4,14632.21,18259.26,22041.51,29074.89,41617.3,128508.37,177260.26,199763.92,205299.16,240462.02,355745.22,2017,,
ITAIPE,MG,76415.16,102324.1,127669.08,111256.82,119639.16,164664.78,152342.0,364629.01,541548.68,510155.79,572418.69,653296.25,885580.52,2017,,
ITAIPULANDIA,PR,1145339.69,1228937.4,1155143.07,1620467.65,1752949.98,2553713.51,2964147.56,4462963.93,5625704.49,6531827.47,6720112.45,10402134.34,11074234.33,2017,,
ITAITINGA,CE,5036446.15,5382562.61,5706236.25,9177648.5,8741671.57,10853806.42,12549916.03,13033877.0,12663571.72,23639425.7,34157037.94,30924838.0,36933231.29,2017,,
ITAITUBA,PA,7039443.14,8074677.52,7384503.45,8634963.37,8447485.59,9867505.56,12031378.84,20696925.41,25524933.71,30688228.12,42454757.48,50589880.74,57409905.89,2017,,
ITAJA,GO,564792.08,512671.5,562220.3,912337.48,956215.83,1116274.07,1486818.99,2205378.37,2410595.88,2930635.56,3931835.33,4507518.53,3956521.2,2017,,
ITAJA,RN,101777.84,226378.36,323073.63,241709.89,250643.68,509108.68,541509.76,1111159.99,1042022.06,1268130.23,1309478.15,951737.17,1158359.37,2017,,
ITAJAI,SC,967655644.84,1315330445.93,1835591529.97,2671935501.55,2525319916.64,4644171652.22,5857620897.72,6985179109.0,8302037714.0,8859474795.06,8447967485.02,7026198167.16,8339172919.82,2017,,
ITAJOBI,SP,3136592.51,2725259.44,3792101.48,5854391.38,6081424.09,7239136.12,8406817.52,10847467.2,12873393.19,14413387.97,15756932.78,17169153.57,18675621.59,2017,,
ITAJU,SP,362074.13,409772.72,552452.83,823342.13,831002.0,1044124.96,1081185.57,1474451.07,1779932.58,2154569.34,2239758.4,2911328.47,3944478.31,2017,,
ITAJU DO COLONIA,BA,115430.14,282271.63,381484.49,352043.01,292665.63,308237.66,275176.59,315561.29,296484.82,343772.82,664798.32,785530.2,607457.72,2017,,
ITAJUBA,MG,70871000.28,85957586.71,107142300.5,126829316.12,125078477.13,166325148.51,166297100.11,193057185.05,207603165.49,227261905.76,242476205.67,228500124.75,240873836.35,2017,,
ITAJUIPE,BA,319767.4,354437.57,340435.9,450730.35,842938.91,665727.04,925635.18,1634491.21,1864219.43,2235586.97,2120696.28,1750219.33,2151033.58,2017,,
ITALVA,RJ,800654.63,878843.52,958224.96,1282291.42,1257671.75,1513564.16,2047669.3,3522893.18,4438227.15,5539554.29,5784457.08,5521475.71,6034805.74,2017,,
ITAMARAJU,BA,4573720.01,5660696.07,5180816.38,5040055.85,5603794.51,5956092.06,6762030.31,10852569.68,11835503.41,15138323.93,17100408.4,17890426.68,19276817.09,2017,,
ITAMARANDIBA,MG,1938779.88,2074484.05,2723137.66,3280637.14,3385296.97,3189428.17,4722918.69,6770965.78,8198394.47,10431467.71,11052633.31,11135242.85,12220392.2,2017,,
ITAMARATI,AM,45385.38,50969.38,56107.82,71511.24,79376.24,134623.09,140537.08,202678.22,273814.32,302400.05,364122.53,281394.97,447792.58,2017,,
ITAMARATI DE MINAS,MG,230737.42,367013.4,458670.33,467571.82,293616.49,588423.3,1035648.13,1575101.1,1847333.96,1177753.43,967614.28,940313.68,1152634.21,2017,,
ITAMARI,BA,58406.03,56167.6,48151.86,64838.45,104191.57,161567.02,173540.62,211390.29,182190.84,218618.71,270936.63,299286.51,574198.43,2017,,
ITAMBACURI,MG,1300082.04,908881.86,1110415.12,1550763.6,1756052.85,2025129.41,2491862.67,3831018.02,3248895.28,4242009.39,4970780.27,4867352.05,5459672.57,2017,,
ITAMBARACA,PR,637594.58,415181.78,797021.03,878361.37,1023771.19,1100085.76,1331108.94,2299287.97,2427904.23,2503368.74,3578327.08,4091283.81,4609807.97,2017,,
ITAMBE,BA,329017.41,365402.33,456567.43,632525.11,614820.24,678896.68,1164401.17,1997078.71,1791908.03,2950040.33,3478655.89,2721955.32,2762111.23,2017,,
ITAMBE,PE,1215779.04,1151384.99,1964677.8,2109443.09,2229356.82,2894645.73,5244441.6,5171199.92,6455147.05,7113273.64,6656175.33,6636867.76,7081172.77,2017,,
ITAMBE,PR,1277236.13,1155523.4,1455483.97,1369594.08,1520905.19,1370561.43,1537220.89,2178552.53,2388431.64,2547132.27,2767135.39,3150144.07,3016121.79,2017,,
ITAMBE DO MATO DENTRO,MG,96333.05,92087.07,123338.23,162859.09,175492.69,156605.72,110033.36,293001.19,262532.03,363350.6,418941.16,515073.35,565244.14,2017,,
ITAMOGI,MG,792405.14,885953.89,900108.17,1073086.37,934365.29,1149581.51,1715625.54,2694481.72,3066098.77,3634258.63,4404846.16,4581373.36,4958008.98,2017,,
ITAMONTE,MG,1721026.67,1844378.08,5590792.6,9089907.22,7729542.79,6729047.72,8520243.2,10365726.43,22278186.12,28103412.55,35995579.76,28097264.18,31167336.76,2017,,
ITANAGRA,BA,77801.49,51786.16,44463.65,91116.09,70878.79,82059.66,134766.21,157363.77,181689.69,222864.64,240196.61,208285.34,410691.45,2017,,
ITANHAEM,SP,7870397.4,8471284.87,10136369.14,14133195.09,17083004.54,19632137.36,22243724.32,33863357.46,35007419.97,41703113.26,46367559.98,47519842.17,51013236.97,2017,,
ITANHANDU,MG,3255511.6,3637567.38,4834579.43,7447323.65,5335114.29,5893100.52,6380717.8,8563950.86,9613214.03,17682764.67,15760747.85,14770392.72,15498168.17,2017,,
ITANHANGA,MT,107034.39,234173.39,607092.24,935437.99,1091278.29,1395352.12,1507104.3,1746876.61,3619551.0,1974938.81,5244702.58,1625239.2,1750553.88,2017,,
ITANHEM,BA,989752.49,953834.73,1018715.01,990630.9,1159917.39,1280207.91,1596040.72,2327178.8,2564228.33,2705606.24,3200863.04,3321402.48,3354246.39,2017,,
ITANHOMI,MG,409993.13,429213.94,583936.08,482009.91,542518.36,624705.23,935851.57,1315088.89,1472926.28,1952471.48,2312191.94,2465343.53,2559325.46,2017,,
ITAOBIM,MG,1444368.0,1619353.65,1571879.99,1624777.87,1655131.24,2002994.21,2472343.14,4168248.65,5179095.7,6454253.78,6790904.49,6689002.02,5904866.33,2017,,
ITAOCA,SP,68303.84,69646.48,75291.73,94752.66,92800.87,99899.39,140468.81,179891.57,216366.96,302072.68,324673.64,352410.44,380275.06,2017,,
ITAOCARA,RJ,7308231.07,9096081.22,6633518.87,5628727.56,2598723.12,2747332.54,3679336.18,6971889.84,8503133.63,9593313.19,10664461.98,12119447.13,12283347.14,2017,,
ITAPACI,GO,709607.91,2289286.63,1827384.61,1318831.35,1389465.21,1497491.92,2219776.87,4166670.31,6083386.94,6172092.29,6109823.24,6450716.01,6993026.47,2017,,
ITAPAGIPE,MG,1717265.5,3453214.2,5852008.39,5582346.61,1712486.13,7817669.51,8762304.25,9548090.76,7317366.47,8339739.52,7609200.84,7605510.51,8157435.34,2017,,
ITAPAJE,CE,1300938.33,1514579.72,3237708.14,9113650.08,3055588.37,19308319.1,41509840.99,57557960.98,83095874.0,89654584.68,75158190.84,48355942.3,42747159.59,2017,,
ITAPARICA,BA,676522.26,681530.65,642547.47,1020729.5,731323.08,804665.3,722460.06,1276807.4,1957132.46,2656806.31,2418278.53,2210596.75,3109884.68,2017,,
ITAPE,BA,124313.45,74510.36,86271.46,140347.29,115643.57,151841.21,233732.06,457652.66,539095.47,572816.0,788392.31,783651.7,846928.7,2017,,
ITAPEBI,BA,358298.92,374372.0,312726.97,394093.48,438383.53,491606.56,664377.61,1247537.06,1249526.59,1165542.91,962959.99,927817.45,1396936.75,2017,,
ITAPECERICA,MG,9195554.74,6514194.25,5845242.89,6392763.01,8324619.47,9720143.93,14463548.0,22402778.98,24297487.55,25977168.72,25826864.85,26951703.4,27274346.6,2017,,
ITAPECERICA DA SERRA,SP,271900296.17,216806938.13,248238300.34,301814937.41,307814745.2,415751145.17,494508238.38,533345402.32,301304353.97,156133823.32,139605807.82,142709482.76,156704527.16,2017,,
ITAPECURU MIRIM,MA,1320283.53,1668607.29,2193454.25,3218054.49,2760856.43,4190150.22,5074008.02,6277428.18,6784007.47,7519350.54,8462663.74,7981964.17,10350797.32,2017,,
ITAPEJARA D'OESTE,PR,6272520.05,4526840.41,5725346.91,6333196.18,4606408.83,6593888.57,3362611.79,6792495.09,8050748.91,10178011.54,9019835.34,8618893.62,12052635.13,2017,,
ITAPEMA,SC,10053218.58,11377353.07,13711773.93,16417284.64,23531866.39,29231839.86,42520542.81,62755795.16,75247463.69,90735669.16,108587302.12,120117395.0,154060264.49,2017,,
ITAPEMIRIM,ES,5647464.29,5578572.19,6087505.36,5404353.97,3554129.76,5032488.2,8971486.38,16129849.69,20903897.76,23845328.66,27068638.3,27026408.79,28015306.03,2017,,
ITAPERUCU,PR,3682976.71,3352547.31,6093432.89,5885725.93,3028561.02,2766807.46,5723278.04,8705911.2,12644982.57,12786340.09,10235651.1,9377337.24,9411787.74,2017,,
ITAPERUNA,RJ,15739954.48,17064541.62,20414286.13,27125226.57,31772959.73,42652946.24,55648448.83,78481740.08,85740153.4,94472279.06,100804916.05,97243408.13,101534297.69,2017,,
ITAPETIM,PE,96299.38,93860.46,114118.56,180672.23,171530.17,283821.54,359934.77,847655.16,1209340.84,1167877.32,1208160.74,1251795.6,1562863.76,2017,,
ITAPETINGA,BA,27639804.31,36230311.08,61555065.43,62598688.34,41738395.51,54190274.95,40549521.72,57767639.21,37898880.2,42515357.5,39954639.07,40439707.57,48185198.28,2017,,
ITAPETININGA,SP,62596723.39,69669664.15,88583789.76,97686567.64,88915320.11,84877091.86,106803103.3,142745819.45,164223771.25,203380820.19,204877332.43,203174966.27,233410470.97,2017,,
ITAPEVA,MG,2709131.88,2204418.12,2075981.25,6308803.27,11281375.41,6975073.91,5912500.66,7379425.44,10596207.62,14538757.09,11531654.59,10857601.72,17968864.93,2017,,
ITAPEVA,SP,25553838.03,25846096.85,30644098.78,45431899.6,35532110.21,44263918.37,49125700.33,59548173.86,69092084.09,76570601.17,77746577.86,76523582.75,85665341.35,2017,,
ITAPEVI,SP,158193416.79,197340596.9,207637078.8,235788024.34,240776146.05,347223112.32,383472011.38,478919186.35,488569472.75,571866475.03,566012019.77,684899285.17,748157881.01,2017,,
ITAPICURU,BA,440779.72,493299.07,587946.08,777174.71,818215.14,1244211.51,1369348.82,2375629.6,2966846.24,3615633.04,3776307.77,3753905.67,4807862.98,2017,,
ITAPIPOCA,CE,20641518.37,20888468.81,25564547.09,20405064.91,24587577.58,35553680.81,34801628.48,36014334.37,33400467.74,48703997.45,42143650.86,54403849.98,68572066.13,2017,,
ITAPIRA,SP,92477750.13,87647372.63,100337404.36,154342726.35,136703565.14,161171895.95,202048275.22,235866888.12,362883705.98,408600215.27,417944070.14,427704090.54,426193774.89,2017,,
ITAPIRANGA,AM,105326.99,76127.83,105612.49,222900.09,186232.35,226463.86,244820.74,364023.62,642044.19,554929.71,713301.26,486365.74,587527.65,2017,,
ITAPIRANGA,SC,4087835.37,4517083.74,5046200.71,5433499.04,5486871.7,5482914.76,7139281.14,11384988.26,12353312.84,14295205.07,17056315.2,18598743.75,20564532.5,2017,,
ITAPIRAPUA,GO,414498.02,377649.56,320791.53,502513.25,498904.44,569145.52,762903.55,1234292.12,1539446.76,1895402.0,2328132.52,2480954.79,2930035.22,2017,,
ITAPIRAPUA PAULISTA,SP,101403.19,116604.75,170069.63,247153.48,249613.1,259904.88,267287.81,467847.89,434257.62,672755.5,824310.11,726884.97,767337.46,2017,,
ITAPIRATINS,TO,45984.33,37630.61,43887.18,84017.28,62098.03,103396.27,73979.24,198702.84,218040.09,285167.29,390720.62,465951.71,574229.44,2017,,
ITAPISSUMA,PE,16621787.13,24662116.13,31558223.42,19152723.06,7159218.59,17515491.72,22161455.44,38443804.79,92742102.28,114823237.11,91525650.85,81977083.41,117911711.11,2017,,
ITAPITANGA,BA,53019.15,56144.08,70938.05,99602.76,94480.33,96296.34,149646.0,315157.44,345878.2,402787.62,500582.64,477128.78,707218.27,2017,,
ITAPIUNA,CE,192076.45,148722.39,187794.72,265398.45,327443.15,286144.5,403815.96,746092.86,1055004.94,1216462.73,1269616.98,1222948.49,1827736.46,2017,,
ITAPOA,SC,1141682.1,1237885.59,1776734.22,2389340.55,3772343.63,4068243.5,3601470.91,10587438.22,20925728.45,31655728.32,36698045.61,37056699.02,55548866.65,2017,,
ITAPOLIS,SP,12628620.69,13457648.08,14470003.93,18567171.66,20002951.49,22744890.38,29819809.8,38605579.56,46343521.94,59716798.37,51958744.96,55754935.46,70665827.0,2017,,
ITAPORA,MS,2578380.36,2066830.06,4431666.09,4894888.86,6168995.36,8297157.44,11918946.08,17953185.71,18071083.18,19730123.08,23067800.11,33199251.55,41069153.8,2017,,
ITAPORA DO TOCANTINS,TO,89294.71,105459.31,159671.06,238272.5,236812.0,274000.57,237280.57,341542.47,415274.29,457574.96,419669.57,816876.65,666131.23,2017,,
ITAPORANGA,PB,675573.54,667001.35,711528.19,1190184.51,1474821.65,2029573.93,2784556.82,5226726.22,5961529.58,6704056.85,6715594.83,7432233.3,8725803.73,2017,,
ITAPORANGA,SP,996109.22,1156654.46,1254821.57,1641903.76,1592958.77,1929867.62,2544001.02,5008716.3,5141118.39,5410616.72,5884719.68,6606035.05,7383252.6,2017,,
ITAPORANGA D'AJUDA,SE,7049881.01,8248853.62,6584105.0,11259925.56,15811293.98,22735487.52,25418783.05,40533118.4,49657626.22,56575415.77,34356369.78,36070763.81,58307982.24,2017,,
ITAPOROROCA,PB,143602.51,119872.94,150835.47,198557.33,263164.2,369107.34,468747.58,881503.58,1023062.26,1229871.59,1500420.3,2013716.25,2373619.13,2017,,
ITAPUA DO OESTE,RO,279399.76,311862.87,408008.85,437425.67,443733.32,675454.61,986722.99,1701630.05,1514772.76,1756190.39,2201124.07,2155614.72,1775143.41,2017,,
ITAPUCA,RS,160638.89,201137.6,245673.7,283411.04,220466.08,80277.35,77630.02,141551.03,171331.71,215753.69,252189.54,269102.08,283388.87,2017,,
ITAPUI,SP,6356256.5,8342627.38,9016005.02,12673055.23,16442649.94,22832051.39,31798279.2,43707457.39,53166303.64,59596711.26,53429245.64,52359223.92,53031806.52,2017,,
ITAPURA,SP,725490.53,710615.93,571860.14,678434.01,316240.26,390154.97,498425.4,696607.88,788887.44,874405.39,1058482.08,1104233.79,889645.23,2017,,
ITAPURANGA,GO,1978291.84,1956411.9,2407986.4,2721908.11,2747976.58,3523016.03,4247289.23,7674092.98,9082025.22,11159538.47,12584146.67,12487908.86,14493754.17,2017,,
ITAQUAQUECETUBA,SP,108125769.94,122665021.76,147348884.96,168427176.07,173647668.66,222357625.64,275873137.72,336906670.38,378196325.36,417564156.81,398025960.3,373798040.13,434078666.97,2017,,
ITAQUARA,BA,169768.16,233957.61,243471.13,287410.91,409670.32,400443.0,521765.53,373506.27,378241.27,346865.21,382329.87,445538.43,557883.28,2017,,
ITAQUI,RS,10100236.61,10244664.38,12148851.12,14260475.34,18479737.5,15375446.35,14201344.57,19208609.57,28447698.87,35608597.76,37827831.96,40041011.91,50586787.03,2017,,
ITAQUIRAI,MS,825436.57,872967.95,1405764.19,2187727.34,10286679.99,6623003.67,4200448.83,4924153.78,7146247.38,9155313.73,10608562.04,11994968.83,12319016.95,2017,,
ITAQUITINGA,PE,63613.46,67360.35,100998.5,158406.74,184219.44,297870.99,480688.16,817124.45,1025484.03,1094100.12,1200762.74,1239187.38,1018060.76,2017,,
ITARANA,ES,1359833.62,1665036.56,2122529.48,2522589.1,2484402.62,2942062.66,3593351.32,5689382.48,6879923.89,8105296.33,6911284.73,7209091.87,7801673.12,2017,,
ITARANTIM,BA,412733.91,374217.43,370819.67,534138.42,1152354.64,1908424.99,1830513.57,2557554.81,2819746.34,3020702.85,3291680.97,3676750.7,3723709.57,2017,,
ITARARE,SP,18207853.0,19278809.87,21497902.49,24097759.91,25276817.42,23358103.54,27668375.78,38644940.68,39512962.27,44161692.5,48828163.08,45597825.84,46295687.61,2017,,
ITAREMA,CE,402082.14,497340.66,925393.51,694427.8,882853.47,1187497.83,1544442.94,1974572.97,2933239.91,5632289.98,6299887.38,5833421.15,6701979.88,2017,,
ITARIRI,SP,719403.78,624555.84,735197.23,2086299.3,940711.88,1134989.49,1729774.44,2302900.35,2343149.91,2595743.13,3216303.49,3688652.66,4417274.7,2017,,
ITARUMA,GO,587290.82,524607.98,621254.5,1729893.27,1618437.05,2008218.58,2941099.61,3671248.16,3322912.81,4562442.17,4310519.42,4405586.82,6704982.56,2017,,
ITATI,RS,54415.77,54953.87,109294.06,175225.37,77465.45,183252.1,155598.54,238027.09,292759.19,432661.9,406044.2,474585.36,576734.7,2017,,
ITATIAIA,RJ,30167008.12,28825547.94,12134179.98,9737701.78,17919756.78,23894998.15,32290511.88,38374584.49,69640825.05,101853141.93,146102620.89,164686141.88,291095864.61,2017,,
ITATIAIUCU,MG,2820705.72,2559641.33,3291245.97,6045401.34,4445908.57,6631659.22,10378718.93,18865651.79,23809788.12,20231971.09,15538501.39,17123173.21,16479736.74,2017,,
ITATIBA,SP,174309182.72,225124349.84,274849035.92,316068109.27,320233259.45,400725183.43,443385007.38,456260517.76,498917647.82,502716127.63,533689030.6,543265032.73,559464716.49,2017,,
ITATIBA DO SUL,RS,768527.5,1250018.62,1104051.71,1915219.03,841394.91,673813.35,468691.36,1001463.95,846388.42,969627.72,1073033.15,1221294.91,1254625.08,2017,,
ITATIM,BA,472923.14,479614.11,513729.59,450037.47,822049.83,1193768.57,1875301.23,2922920.62,3607364.65,3563068.06,3719482.76,3621934.88,4618356.03,2017,,
ITATINGA,SP,4000715.54,3871271.52,4616879.05,5781979.75,6867871.53,7378392.11,8744975.86,9714285.35,11384981.55,13416977.28,13065812.54,12671773.25,15224613.74,2017,,
ITATIRA,CE,75755.54,51510.44,62811.91,86531.46,70081.4,106782.59,188793.5,515810.16,490784.09,680381.99,726354.48,1044766.98,1975964.64,2017,,
ITATUBA,PB,646955.32,114898.65,267832.28,280070.71,605408.02,515541.84,727211.77,716151.95,488387.25,647069.44,620416.49,692846.88,840832.54,2017,,
ITAU,RN,72493.13,73220.64,90556.1,111329.47,94997.45,170443.16,195711.1,287484.91,354567.21,447109.26,588226.64,657374.68,750907.67,2017,,
ITAU DE MINAS,MG,52523211.13,20459692.83,9591156.2,13776038.91,8708529.89,5855119.92,5499841.73,7538796.84,8651686.16,9283902.49,11039046.47,10610633.21,11371587.5,2017,,
ITAUBA,MT,1191296.57,1306165.11,1521414.82,1707946.06,1561590.54,1548206.53,1917376.42,2968610.57,3219197.38,4152379.41,5476571.01,5710269.86,6245092.89,2017,,
ITAUBAL,AP,9645.28,23645.55,20855.33,20180.93,44364.18,70010.46,76618.14,86262.02,76321.91,115056.51,109548.44,190202.47,167428.35,2017,,
ITAUCU,GO,550952.5,457119.8,793870.25,1317046.93,1081409.57,1343881.12,1284785.35,2120101.59,1809960.77,1956872.7,2366231.05,2579109.72,2630158.81,2017,,
ITAUEIRA,PI,125340.73,137293.54,397095.53,442515.78,292156.82,293426.6,343482.06,755017.37,901122.71,1229454.4,2068989.74,1791239.88,1342185.88,2017,,
ITAUNA,MG,99346313.8,110696642.26,137050753.25,406726939.94,121759836.05,144298171.9,267681830.16,347951032.94,328094495.34,377389130.59,338742099.05,264168231.26,320742810.95,2017,,
ITAUNA DO SUL,PR,123489.93,139674.0,169532.92,199837.4,176493.35,206232.47,416349.2,685634.02,684721.8,514079.11,689137.01,779196.91,748519.77,2017,,
ITAVERAVA,MG,142851.62,175330.63,174124.09,227388.43,188663.8,261770.92,604193.41,754705.87,1232083.57,1918888.93,1368190.25,1968064.76,1960161.99,2017,,
ITINGA,MG,462017.61,816385.14,741003.15,897232.5,1041388.46,1774126.14,2077987.92,2594306.07,4222006.64,5708731.21,6427174.35,5737167.85,5370309.34,2017,,
ITINGA DO MARANHAO,MA,527950.15,368983.85,746600.78,1261891.47,976527.14,713402.96,609866.32,1281155.47,1587638.03,2321206.11,2874168.01,3613241.52,4891982.9,2017,,
ITIQUIRA,MT,12236069.7,16355495.15,25902838.43,28812917.76,28322115.61,25082205.57,10980045.7,17316440.04,21611724.5,22501046.45,36045243.97,33706114.71,33079227.8,2017,,
